Tick,TrainID,X,Y,Direction,State
1,0,3,0,0,0
1,0,3,0,0,0
2,0,4,0,0,0
2,0,4,0,0,0
3,0,5,0,0,0
3,0,5,0,0,0
4,0,6,0,0,0
4,0,6,0,0,0
5,0,7,0,0,0
5,1,3,3,0,0
5,0,7,0,0,0
5,1,3,3,0,0
6,0,8,0,0,0
6,1,4,3,0,0
6,0,8,0,0,0
6,1,4,3,0,0
7,0,9,0,0,0
7,1,5,3,0,0
7,0,9,0,0,0
7,1,5,3,0,0
8,0,10,0,0,0
8,1,6,3,0,0
8,0,10,0,0,0
8,1,6,3,0,0
9,0,11,0,0,0
9,1,7,3,0,0
9,0,11,0,0,0
9,1,7,3,0,0
10,0,12,0,0,0
10,1,8,3,0,0
10,0,12,0,0,0
10,1,8,3,0,0
11,0,13,0,0,0
11,1,9,3,0,0
11,0,13,0,0,0
11,1,9,3,0,0
12,1,10,3,0,0
12,1,10,3,0,0
13,1,11,3,0,0
13,1,11,3,0,0
14,1,12,3,0,0
14,1,12,3,0,0
15,1,13,3,0,0
15,1,13,3,0,0
